"ID","BDAT","FDAT","ARDAT","LACT","CBRD","XLAME","LLAME","PSTRG","Event","DIM","Date","Remark","Protocols","Technician",
     38332 ,03/01/20,03/12/22,04/27/23,   1 ,J    ,    0 ,    0 ,    2 ,FOOTRIM    , 347 ,02/22/23,TRM             ,Pedro Ch,,
     38332 ,03/01/20,04/27/23,00000000 ,   2 ,J    ,    0 ,    0 ,    2 ,FOOTRIM    ,  93 ,07/29/23,TRM             ,,,
     38335 ,03/01/20,01/21/22,01/06/23,   1 ,J    ,    0 ,    0 ,    2 ,FOOTRIM    , 292 ,11/09/22,TRM             ,Pedro Ch,,
     38335 ,03/01/20,01/06/23,00000000 ,   2 ,J    ,    0 ,    0 ,    2 ,FOOTRIM    , 220 ,08/14/23,TRM             ,,,
     38336 ,03/02/20,12/22/21,03/07/23,   1 ,H    ,    0 ,    0 ,    2 ,FOOTRIM    , 382 ,01/08/23,TRM             ,Pedro Ch,,
     38336 ,03/02/20,12/22/21,03/07/23,   1 ,H    ,    0 ,    0 ,    2 ,FOOTRIM    , 385 ,01/11/23,TRM             ,Pedro Ch,,
     38336 ,03/02/20,03/07/23,00000000 ,   2 ,H    ,    1 ,    0 ,    2 ,LAME       ,  40 ,04/16/23,BLKWQQ          ,White Line      ,Pedro Ch,
     38337 ,03/02/20,02/01/22,02/14/23,   1 ,X    ,    1 ,    0 ,    2 ,FOOTRIM    , 278 ,11/06/22,TRM             ,Pedro Ch,,
     38337 ,03/02/20,02/01/22,02/14/23,   1 ,X    ,    1 ,    0 ,    2 ,LAME       , 316 ,12/14/22,LEGIQQ          ,Injury          ,Pedro Ch,
     38341 ,03/02/20,02/11/22,04/05/23,   1 ,H    ,    0 ,    0 ,    2 ,FOOTRIM    , 352 ,01/29/23,TRM             ,Pedro Ch,,
     38352 ,03/04/20,03/25/22,05/11/23,   1 ,J    ,    1 ,    0 ,    2 ,LAME       , 111 ,07/14/22,EXCFLH          ,Foot Rot Excd   ,Hugo Alberto,
     38352 ,03/04/20,05/11/23,00000000 ,   2 ,J    ,    0 ,    1 ,    2 ,FOOTRIM    ,  84 ,08/03/23,TRM             ,,,
     38353 ,03/04/20,05/23/23,00000000 ,   2 ,J    ,    1 ,    0 ,    2 ,LAME       , 115 ,09/15/23,BLKWRF          ,White Line      ,,
     38353 ,03/04/20,05/23/23,00000000 ,   2 ,J    ,    1 ,    0 ,    2 ,FOOTRIM    , 116 ,09/16/23,TRM             ,,,
     38357 ,03/04/20,05/22/22,05/09/23,   1 ,H    ,    1 ,    0 ,    2 ,LAME       , 144 ,10/13/22,TETDRR          ,WART            ,Pedro Ch,
     38357 ,03/04/20,05/22/22,05/09/23,   1 ,H    ,    2 ,    0 ,    2 ,LAME       , 196 ,12/04/22,TETDRR          ,WART            ,Pedro Ch,
     38357 ,03/04/20,05/22/22,05/09/23,   1 ,H    ,    2 ,    0 ,    2 ,FOOTRIM    , 265 ,02/11/23,TRM             ,Pedro Ch,,
     38357 ,03/04/20,05/09/23,00000000 ,   2 ,H    ,    0 ,    2 ,    2 ,FOOTRIM    , 145 ,10/01/23,TRM             ,Antonio Jamboa,,
     38358 ,03/04/20,01/25/22,00000000 ,   1 ,J    ,    1 ,    0 ,    2 ,FOOTRIM    , 579 ,08/27/23,TRM             ,Antonio Jamboa,,
     38358 ,03/04/20,01/25/22,00000000 ,   1 ,J    ,    1 ,    0 ,    2 ,LAME       , 602 ,09/19/23,BLKWRF          ,White Line      ,,
     38359 ,03/04/20,02/01/22,03/02/23,   1 ,J    ,    0 ,    0 ,    2 ,FOOTRIM    , 187 ,08/07/22,TRM             ,Pedro Ch,,
     38359 ,03/04/20,02/01/22,03/02/23,   1 ,J    ,    0 ,    0 ,    2 ,FOOTRIM    , 324 ,12/22/22,TRM             ,Pedro Ch,,
     38359 ,03/04/20,03/02/23,00000000 ,   2 ,J    ,    0 ,    0 ,    2 ,FOOTRIM    , 123 ,07/03/23,TRM             ,,,
     38372 ,03/06/20,01/29/22,02/04/23,   1 ,H    ,    0 ,    0 ,    2 ,FOOTRIM    , 305 ,11/30/22,TRM             ,Pedro Ch,,
     38372 ,03/06/20,02/04/23,00000000 ,   2 ,H    ,    0 ,    0 ,    2 ,FOOTRIM    , 191 ,08/14/23,TRM             ,,,
     38375 ,03/06/20,02/13/22,03/08/23,   1 ,-    ,    1 ,    0 ,    2 ,LAME       , 265 ,11/05/22,BLKWRR          ,White Line      ,Pedro Ch,
     38375 ,03/06/20,02/13/22,03/08/23,   1 ,-    ,    1 ,    0 ,    2 ,FOOTRIM    , 318 ,12/28/22,TRM             ,Pedro Ch,,
     38387 ,03/08/20,02/01/22,02/16/23,   1 ,       /,    0 ,    0 ,    2 ,FOOTRIM    , 316 ,12/14/22,TRM             ,Pedro Ch,,
     38387 ,03/08/20,02/16/23,00000000 ,   2 ,       /,    1 ,    0 ,    2 ,LAME       , 109 ,06/05/23,BLKWQQ          ,White Line      ,,
     38387 ,03/08/20,02/16/23,00000000 ,   2 ,       /,    1 ,    0 ,    2 ,FOOTRIM    , 128 ,06/24/23,TRM             ,,,
     38387 ,03/08/20,02/16/23,00000000 ,   2 ,       /,    1 ,    0 ,    2 ,FOOTRIM    , 136 ,07/02/23,TRM             ,,,
     38392 ,03/09/20,03/25/22,03/20/23,   1 ,J    ,    0 ,    0 ,    2 ,FOOTRIM    , 292 ,01/11/23,TRM             ,Pedro Ch,,
     38395 ,03/10/20,01/25/22,01/09/23,   1 ,J    ,    0 ,    0 ,    2 ,FOOTRIM    , 302 ,11/23/22,TRM             ,Pedro Ch,,
     38398 ,03/11/20,01/03/22,12/01/22,   1 ,J    ,    1 ,    0 ,    2 ,LAME       , 329 ,11/28/22,EXCFLR          ,Foot Rot Excd   ,Pedro Ch,
     38405 ,03/11/20,01/20/22,01/05/23,   1 ,H    ,    0 ,    0 ,    2 ,FOOTRIM    , 293 ,11/09/22,TRM             ,Pedro Ch,,
     38411 ,02/27/20,01/06/22,12/25/22,   1 ,J    ,    0 ,    0 ,    2 ,FOOTRIM    , 287 ,10/20/22,TRM             ,Pedro Ch,,
     38413 ,02/27/20,03/28/22,05/29/23,   1 ,H    ,    0 ,    0 ,    2 ,FOOTRIM    , 234 ,11/17/22,TRM             ,Pedro Ch,,
