"ID","CBRD","BDAT","FDAT","LACT","FTDAT","XLAME","LLAME","LMREM","Event","DIM","Date","Remark","Protocols","Technician",
     53333 ,J    ,06/16/14,02/18/20,   4 ,00000000 ,    0 ,    2 ,-        ,SOLD       , 333 ,01/16/21,BFCARGIL        ,                ,,
     53435 ,X    ,06/21/14,11/03/20,   5 ,00000000 ,    0 ,    0 ,-        ,SOLD       ,  50 ,12/23/20,CAR3            ,                ,,
     53503 ,X    ,06/25/14,09/11/19,   3 ,00000000 ,    0 ,    1 ,-        ,SOLD       , 493 ,01/16/21,BFCARGIL        ,                ,,
     53561 ,H    ,06/28/14,07/10/19,   4 ,00000000 ,    0 ,    0 ,-        ,DIED       ,  68 ,09/16/19,B3 23           ,                ,,
     53615 ,X    ,07/02/14,08/04/19,   4 ,00000000 ,    0 ,    1 ,-        ,SOLD       , 168 ,01/19/20,CAR1            ,                ,,
     53749 ,J    ,07/09/14,06/24/17,   2 ,00000000 ,    0 ,    0 ,-        ,SOLD       , 479 ,10/16/18,CAR3            ,                ,,
     53753 ,X    ,07/10/14,04/29/18,   3 ,00000000 ,    0 ,    1 ,-        ,SOLD       , 349 ,04/13/19,CAR3            ,                ,,
     53765 ,X    ,07/11/14,10/17/19,   4 ,00000000 ,    0 ,    1 ,-        ,SOLD       , 457 ,01/16/21,BFCARGIL        ,                ,,
     53768 ,X    ,07/11/14,07/19/18,   3 ,00000000 ,    0 ,    2 ,-        ,SOLD       , 339 ,06/23/19,CAR4            ,                ,,
     53777 ,X    ,07/11/14,07/23/18,   3 ,00000000 ,    0 ,    0 ,-        ,SOLD       , 211 ,02/19/19,CAR4            ,                ,,
     53816 ,H    ,07/21/14,12/12/19,   4 ,00000000 ,    0 ,    0 ,-        ,SOLD       ,  22 ,01/03/20,CAR2            ,                ,,
     53817 ,X    ,07/22/14,06/23/19,   3 ,00000000 ,    0 ,    0 ,-        ,SOLD       ,  71 ,09/02/19,                ,                ,,
     54021 ,X    ,08/02/14,08/01/19,   4 ,00000000 ,    0 ,    0 ,-        ,DIED       , 220 ,03/08/20,MIA             ,                ,,
     54150 ,X    ,08/05/14,06/11/19,   4 ,00000000 ,    0 ,    1 ,-        ,SOLD       , 208 ,01/05/20,CAR2            ,                ,,
     54249 ,X    ,08/09/14,11/13/18,   3 ,00000000 ,    0 ,    0 ,-        ,SOLD       ,  32 ,12/15/18,CAR4            ,                ,,
     54354 ,X    ,08/12/14,07/25/18,   3 ,00000000 ,    0 ,    1 ,-        ,SOLD       ,  70 ,10/03/18,CAR3            ,                ,,
     54364 ,X    ,05/17/18,02/21/20,   1 ,00000000 ,    0 ,    0 ,-        ,SOLD       , 560 ,09/03/21,CAR4            ,                ,,
     54367 ,X    ,08/13/14,07/14/17,   2 ,10/15/18,    2 ,    0 ,L2       ,SOLD       , 497 ,11/23/18,CAR4            ,                ,,
     54367 ,J    ,04/21/18,02/05/22,   3 ,00000000 ,    0 ,    0 ,-        ,SOLD       , 186 ,08/10/22,CAR1            ,                ,,
     54368 ,X    ,04/09/18,02/07/21,   2 ,00000000 ,    0 ,    0 ,-        ,SOLD       , 550 ,08/11/22,CAR1            ,                ,,
     54369 ,J    ,02/12/18,08/10/21,   2 ,00000000 ,    0 ,    0 ,-        ,SOLD       , 360 ,08/05/22,CAR4            ,                ,,
     54371 ,J    ,03/31/18,06/29/22,   3 ,09/19/22,    1 ,    0 ,BLKUBR   ,SOLD       , 145 ,11/21/22,CAR2            ,                ,,
     54377 ,J    ,04/14/18,05/22/22,   3 ,00000000 ,    0 ,    0 ,-        ,SOLD       , 373 ,05/30/23,CAR4            ,                ,,
     54378 ,J    ,04/15/18,06/15/23,   4 ,00000000 ,    0 ,    0 ,-        ,DIED       ,  21 ,07/06/23,B3              ,                ,,
     54389 ,J    ,03/17/18,02/15/22,   3 ,00000000 ,    0 ,    0 ,-        ,SOLD       , 171 ,08/05/22,CAR4            ,                ,,
     54407 ,X    ,08/14/14,06/17/19,   4 ,00000000 ,    0 ,    0 ,-        ,DIED       ,  59 ,08/15/19,B3              ,                ,,
     54420 ,J    ,05/01/18,02/14/21,   2 ,00000000 ,    0 ,    1 ,-        ,SOLD       , 537 ,08/05/22,CAR4            ,                ,,
     54425 ,J    ,05/01/18,02/13/23,   4 ,00000000 ,    0 ,    0 ,-        ,DIED       ,  52 ,04/06/23,B3.25           ,                ,,
     54428 ,J    ,05/01/18,02/21/21,   2 ,00000000 ,    0 ,    0 ,-        ,SOLD       , 263 ,11/11/21,CAR1            ,                ,,
     54440 ,J    ,04/20/18,04/09/22,   3 ,00000000 ,    0 ,    0 ,-        ,SOLD       , 201 ,10/27/22,CAR4            ,                ,,
     54461 ,X    ,03/05/18,12/19/19,   1 ,00000000 ,    0 ,    0 ,-        ,SOLD       , 242 ,08/17/20,CAR4            ,                ,,
     54465 ,J    ,01/11/18,12/10/22,   4 ,00000000 ,    0 ,    1 ,-        ,SOLD       ,  31 ,01/10/23,CAR1            ,                ,,
     54482 ,J    ,02/05/18,01/30/21,   2 ,00000000 ,    0 ,    0 ,-        ,SOLD       , 199 ,08/17/21,CAR4            ,                ,,
     54484 ,J    ,02/20/18,02/12/22,   3 ,00000000 ,    0 ,    0 ,-        ,SOLD       , 174 ,08/05/22,CAR4            ,                ,,
     54485 ,X    ,02/17/18,03/07/22,   3 ,10/24/22,    2 ,    0 ,BLKUBR   ,SOLD       , 322 ,01/23/23,CAR4            ,                ,,
     54487 ,X    ,08/17/14,07/13/17,   2 ,00000000 ,    0 ,    0 ,-        ,SOLD       , 723 ,07/06/19,CAR4            ,                ,,
     54487 ,J    ,03/08/18,02/28/22,   3 ,00000000 ,    0 ,    0 ,-        ,SOLD       , 374 ,03/09/23,CAR2            ,                ,,
     54488 ,J    ,03/08/18,01/06/22,   3 ,00000000 ,    0 ,    0 ,-        ,SOLD       , 211 ,08/05/22,CAR4            ,                ,,
     54489 ,J    ,04/08/18,12/17/22,   4 ,00000000 ,    0 ,    2 ,-        ,SOLD       ,  88 ,03/15/23,CAR1            ,                ,,
     54493 ,J    ,02/09/18,01/14/22,   3 ,00000000 ,    0 ,    0 ,-        ,SOLD       , 312 ,11/22/22,CAR4            ,                ,,
     54494 ,J    ,04/17/18,07/10/22,   3 ,09/19/22,    2 ,    1 ,BLKUFL   ,DIED       , 358 ,07/03/23,B3              ,                ,,
     54538 ,X    ,02/01/18,06/04/22,   3 ,00000000 ,    0 ,    0 ,-        ,SOLD       , 145 ,10/27/22,CAR4            ,                ,,
     54543 ,X    ,03/05/18,01/23/20,   1 ,00000000 ,    0 ,    0 ,-        ,SOLD       , 111 ,05/13/20,CAR4            ,                ,,
     54710 ,X    ,08/26/14,11/21/19,   4 ,00000000 ,    0 ,    1 ,-        ,SOLD       ,  68 ,01/28/20,CAR3            ,                ,,
     54733 ,J    ,08/27/14,01/04/20,   4 ,00000000 ,    0 ,    0 ,-        ,SOLD       , 112 ,04/25/20,CAR3            ,                ,,
     54853 ,H    ,09/01/14,01/04/20,   4 ,00000000 ,    0 ,    1 ,-        ,SOLD       , 338 ,12/07/20,CAR1            ,                ,,
